id,name,kinyarwanda,kirundi,somali,name_source,translation_id,eheza_field_path,source_module,elm_construct,datatype
EHEZA-0068,Every Counseling Schedule,,,,fallback,,EveryCounselingSchedule,client/src/elm/Backend/Counseling/Model.elm,record_type,N/A
EHEZA-0069,Education Session,,,,fallback,,EducationSession,client/src/elm/Backend/EducationSession/Model.elm,record_type,N/A
EHEZA-0070,Nurse,,,,fallback,,EducationSession.nurse,client/src/elm/Backend/EducationSession/Model.elm,record_field,Text
EHEZA-0071,Village,,,,fallback,,EducationSession.village,client/src/elm/Backend/EducationSession/Model.elm,record_field,Text
EHEZA-0072,Participants,,,,fallback,,EducationSession.participants,client/src/elm/Backend/EducationSession/Model.elm,record_field,Text
EHEZA-0073,Education Topic,,,,fallback,,EducationTopic,client/src/elm/Backend/EducationSession/Model.elm,union_type,Coded
EHEZA-0074,Tuberculosis,,Igituntu,Qaaxo,translation,TopicTuberculosis,EducationTopic.TopicTuberculosis,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0075,STDs & Prevention of HIV,,Indwara zandurirwa mu mibonano mpuzabitsina no gukingira SIDA,Cudurada ku Faafa Galmada & Ka hortaga HIV,translation,TopicSTD,EducationTopic.TopicSTD,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0076,Mental Health Diseases & Epilepsy,,Indwara wo mu mutwe n'Intandara,Cudurada Dhimirka & Qallalka,translation,TopicMentalHealth,EducationTopic.TopicMentalHealth,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
EHEZA-0077,Malarial diseases and the use of mosquito nets,,Indwara za Malariya n'ugukoresha umusegeera,Duumada iyo adeegsiga maro kaneecada,translation,TopicMalaria,EducationTopic.TopicMalaria,client/src/elm/Backend/EducationSession/Model.elm,union_constructor,N/A
