id,translation_id,english,kinyarwanda,kirundi,somali
EHEZA-U-0713,NeckCPESign.EnlargedLymphNodes,Enlarged Lymph Nodes,Inturugunyu/Amatakara,Ganglions lymphatiques hypertrophiés,
EHEZA-U-0714,NegativeLabel,Negative,Nta bwandu afite,Nta ngwara afise,Taban
EHEZA-U-0715,Never,Never,Nta na rimwe,Nta na rimwe,Ma dhicin
EHEZA-U-0716,NextAppointment,Next Appointment,Itariki yo kugarukaho,Umubonano uzokurikira,Ballanta Xigta
EHEZA-U-0717,NextDue,Next Due,itariki azahabwaho urukingo rukurikira,Ikiringo kizokurikira,Soo socota
EHEZA-U-0718,NextOfKin,Next of Kin,,,
EHEZA-U-0719,NextSteps,Next Steps,Ibikurikiyeho,Intambwe zikurikira,Tallaabooyinka Xiga
EHEZA-U-0720,NextVisit,Next Visit,Isura rikurikira,Isango rikurikira,
EH-AI-004,NightSweatsLabel,Night sweats,Kubira ibyuya nijoro,Kubira ivyuya mw'ijoro,Habeen Dhidid
EHEZA-U-0721,NormalRange,Normal Range,Ibimeze neza,Icanya gisanzwe,Sida Caadiga ah
EHEZA-U-0722,NutritionSigns,Nutrition Signs,Ibimenyetso by'imirire,Ibimenyetso vyo gufungura,Calaamadaha Nafaqada
EHEZA-U-0723,ReasonForNonReferral.ClientRefused,Client refused,Umurwayi yabyanze,Umurwayi yaranse,Bukaanka ayaa diiday
EHEZA-U-0724,ReasonForNonReferral.ClientUnableToAffordFees,Client unable to afford fees,Nta bushobozi bwo kwishyura afite,Umurwayi adashobora kwishura amafaranga,Bukaanka ma awoodo qarashka
EHEZA-U-0725,ReasonForNonReferral.ClientAlreadyInCare,Client already in care,Umukiriya ari kwitabwaho,Umurwayi asanzwe yitahweho,Bukaanka waxaa u socda daryeel
EHEZA-U-0726,AdministrationNote.NonAdministrationLackOfStock,Out of Stock,Nta miti iri mu bubiko,Ntabiriyo m'ububiko,Keydka ka Go`an
EHEZA-U-0727,AdministrationNote.NonAdministrationHomeBirth,Home Birth,Yabyariye mu rugo,Kuvyarira muhira,Ku dhalashada Guriga
EHEZA-U-0728,AdministrationNote.AdministeredToday,Administered Today,Yahawe umuti uyu munsi,,
EHEZA-U-0729,AdministrationNote.AdministeredPreviously,Already Received,Byamaze kwakirwa,Vyamaze kwakirwa,Hore loo helay
EHEZA-U-0730,AdministrationNoteForWellChildImmunisation.NonAdministrationPatientDeclined,Mother / Caregiver Declined,Umubyeyi / Umurezi yanze,Mama / umurezi yaranse,Hooyada/ Daryeelaha ayaa Diiday
EHEZA-U-0731,NoReferralRecorded,No referral recorded,Nta koherezwa kwagaragaye,Ntakurungika umugwayi ahandi (kubindi bitaro/kurindi vuriro) vyanditse,Tixraac lama diiwaan gelin
EHEZA-U-0732,NoChildrenRegisteredInTheSystem,No children registered in the system,Ntamwana wanditswe muriyi sisiteme,Nta bana biyandikishije muri ubu buryo bugezweho (muri sisiteme),Ma jiraan carruur ku diiwaan gashan habkan
EHEZA-U-0733,NumberOfAbortionsLabel,Number of Abortions,Umubare w'inda zavuyemo,Ugukoroka kw'imbanyi,Tirada Uurka Dhicisoobay
