Height	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
82.0	7.965	8.657	9.350	10.119	10.977	11.936	13.013	14.224	15.436
82.1	7.981	8.675	9.368	10.139	10.998	11.959	13.037	14.250	15.464
82.2	7.997	8.692	9.387	10.159	11.020	11.982	13.061	14.277	15.492
82.3	8.014	8.710	9.406	10.179	11.042	12.005	13.086	14.303	15.520
82.4	8.030	8.728	9.425	10.200	11.063	12.029	13.111	14.330	15.549
82.5	8.047	8.746	9.444	10.220	11.085	12.052	13.137	14.357	15.578
82.6	8.064	8.764	9.463	10.241	11.107	12.076	13.162	14.384	15.607
82.7	8.081	8.782	9.483	10.262	11.129	12.099	13.187	14.412	15.636
82.8	8.098	8.800	9.503	10.282	11.152	12.123	13.213	14.439	15.665
82.9	8.116	8.819	9.522	10.303	11.174	12.147	13.238	14.466	15.694
83.0	8.133	8.837	9.542	10.325	11.197	12.171	13.264	14.494	15.724
83.1	8.150	8.856	9.562	10.346	11.219	12.196	13.290	14.522	15.754
83.2	8.168	8.875	9.582	10.367	11.242	12.220	13.316	14.550	15.784
83.3	8.186	8.894	9.602	10.389	11.265	12.244	13.342	14.578	15.814
83.4	8.203	8.913	9.622	10.410	11.288	12.269	13.369	14.606	15.844
83.5	8.221	8.932	9.643	10.432	11.311	12.294	13.396	14.635	15.874
83.6	8.239	8.951	9.663	10.454	11.335	12.319	13.422	14.663	15.904
83.7	8.257	8.971	9.684	10.476	11.358	12.344	13.449	14.692	15.935
83.8	8.276	8.990	9.705	10.498	11.382	12.369	13.476	14.721	15.966
83.9	8.294	9.010	9.725	10.520	11.405	12.394	13.503	14.750	15.997
84.0	8.312	9.029	9.746	10.542	11.429	12.420	13.530	14.778	16.027
84.1	8.331	9.049	9.767	10.565	11.453	12.445	13.557	14.808	16.059
84.2	8.349	9.069	9.788	10.587	11.477	12.471	13.584	14.837	16.089
84.3	8.368	9.088	9.809	10.610	11.501	12.496	13.612	14.866	16.121
84.4	8.387	9.109	9.831	10.632	11.525	12.522	13.639	14.895	16.152
84.5	8.405	9.128	9.852	10.655	11.549	12.548	13.667	14.925	16.184
84.6	8.424	9.149	9.873	10.678	11.573	12.573	13.694	14.955	16.215
84.7	8.443	9.169	9.895	10.700	11.598	12.599	13.722	14.984	16.246
84.8	8.462	9.189	9.916	10.723	11.622	12.625	13.750	15.014	16.278
84.9	8.481	9.209	9.938	10.746	11.646	12.651	13.777	15.043	16.310
85.0	8.499	9.229	9.959	10.769	11.671	12.678	13.806	15.074	16.342
85.1	8.519	9.250	9.981	10.792	11.695	12.704	13.833	15.103	16.373
85.2	8.538	9.270	10.002	10.815	11.720	12.730	13.861	15.133	16.405
85.3	8.557	9.290	10.024	10.838	11.744	12.756	13.890	15.163	16.437
85.4	8.576	9.311	10.046	10.861	11.769	12.782	13.917	15.193	16.469
85.5	8.595	9.331	10.067	10.884	11.794	12.809	13.946	15.224	16.501
85.6	8.614	9.352	10.089	10.908	11.818	12.835	13.974	15.253	16.533
85.7	8.633	9.372	10.111	10.931	11.843	12.862	14.002	15.284	16.565
85.8	8.652	9.392	10.133	10.954	11.868	12.888	14.030	15.314	16.598
85.9	8.672	9.413	10.154	10.977	11.893	12.914	14.059	15.344	16.630
86.0	8.691	9.433	10.176	11.000	11.917	12.941	14.087	15.374	16.662
86.1	8.710	9.454	10.198	11.023	11.942	12.967	14.115	15.405	16.695
86.2	8.729	9.474	10.220	11.047	11.967	12.994	14.143	15.435	16.726
86.3	8.748	9.495	10.242	11.070	11.992	13.020	14.172	15.465	16.759
86.4	8.767	9.515	10.263	11.093	12.016	13.047	14.200	15.496	16.791
86.5	8.786	9.536	10.285	11.116	12.041	13.073	14.228	15.526	16.824
86.6	8.805	9.556	10.307	11.139	12.066	13.099	14.257	15.556	16.856
86.7	8.824	9.576	10.328	11.163	12.090	13.126	14.285	15.587	16.888
86.8	8.843	9.597	10.350	11.186	12.115	13.152	14.313	15.617	16.921
86.9	8.862	9.617	10.372	11.209	12.140	13.179	14.341	15.647	16.953
87.0	8.881	9.637	10.393	11.232	12.164	13.205	14.370	15.677	16.985
87.1	8.900	9.658	10.415	11.255	12.189	13.231	14.398	15.708	17.017
87.2	8.919	9.678	10.436	11.278	12.214	13.257	14.426	15.738	17.050
87.3	8.938	9.698	10.458	11.301	12.238	13.284	14.454	15.768	17.082
