Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
75.8	6.571	7.192	7.812	8.510	9.297	10.188	11.202	12.361	13.520
75.9	6.584	7.206	7.828	8.527	9.315	10.208	11.224	12.385	13.545
76.0	6.597	7.221	7.844	8.544	9.334	10.228	11.246	12.408	13.571
76.1	6.610	7.235	7.859	8.561	9.352	10.248	11.267	12.432	13.597
76.2	6.624	7.249	7.875	8.578	9.370	10.268	11.289	12.456	13.623
76.3	6.637	7.264	7.890	8.595	9.389	10.288	11.311	12.480	13.649
76.4	6.650	7.278	7.906	8.611	9.407	10.308	11.333	12.504	13.675
76.5	6.664	7.293	7.922	8.628	9.425	10.328	11.354	12.527	13.700
76.6	6.677	7.307	7.937	8.645	9.444	10.348	11.376	12.551	13.726
76.7	6.690	7.321	7.953	8.662	9.462	10.367	11.398	12.575	13.752
76.8	6.703	7.336	7.968	8.679	9.480	10.387	11.419	12.598	13.778
76.9	6.717	7.350	7.984	8.696	9.498	10.407	11.441	12.622	13.804
77.0	6.730	7.365	7.999	8.712	9.517	10.427	11.463	12.646	13.830
77.1	6.743	7.379	8.015	8.730	9.535	10.447	11.484	12.670	13.855
77.2	6.756	7.394	8.031	8.746	9.553	10.467	11.506	12.694	13.881
77.3	6.770	7.408	8.046	8.763	9.572	10.487	11.528	12.718	13.907
77.4	6.783	7.423	8.062	8.780	9.590	10.507	11.550	12.741	13.933
77.5	6.797	7.437	8.078	8.797	9.609	10.527	11.572	12.765	13.959
77.6	6.810	7.452	8.094	8.814	9.627	10.547	11.594	12.790	13.985
77.7	6.824	7.466	8.109	8.831	9.646	10.567	11.616	12.813	14.011
77.8	6.837	7.481	8.125	8.849	9.664	10.588	11.638	12.838	14.037
77.9	6.851	7.496	8.141	8.866	9.683	10.608	11.660	12.861	14.063
78.0	6.864	7.511	8.157	8.883	9.702	10.628	11.682	12.886	14.090
78.1	6.878	7.525	8.173	8.900	9.720	10.649	11.704	12.910	14.116
78.2	6.891	7.540	8.189	8.917	9.739	10.669	11.727	12.935	14.143
78.3	6.905	7.555	8.205	8.935	9.758	10.689	11.749	12.959	14.169
78.4	6.919	7.570	8.221	8.952	9.777	10.710	11.771	12.984	14.196
78.5	6.932	7.585	8.237	8.970	9.796	10.731	11.794	13.008	14.223
78.6	6.946	7.600	8.253	8.987	9.815	10.751	11.816	13.033	14.249
78.7	6.960	7.615	8.270	9.005	9.834	10.772	11.839	13.058	14.276
78.8	6.974	7.630	8.286	9.023	9.853	10.793	11.862	13.083	14.304
78.9	6.988	7.645	8.302	9.040	9.872	10.814	11.884	13.107	14.330
79.0	7.002	7.660	8.319	9.058	9.892	10.835	11.907	13.132	14.358
79.1	7.016	7.676	8.335	9.076	9.911	10.856	11.930	13.158	14.385
79.2	7.030	7.691	8.352	9.094	9.930	10.877	11.954	13.183	14.413
79.3	7.044	7.706	8.368	9.112	9.950	10.898	11.977	13.208	14.440
