Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
62.1	4.749	5.163	5.577	6.038	6.551	7.125	7.769	8.494	9.220
62.2	4.768	5.184	5.599	6.061	6.576	7.152	7.799	8.527	9.255
62.3	4.787	5.204	5.621	6.085	6.602	7.180	7.829	8.559	9.290
62.4	4.806	5.225	5.643	6.109	6.627	7.207	7.858	8.591	9.324
62.5	4.825	5.245	5.665	6.132	6.653	7.235	7.888	8.624	9.359
62.6	4.844	5.265	5.687	6.156	6.678	7.262	7.918	8.656	9.394
62.7	4.862	5.286	5.709	6.179	6.703	7.290	7.947	8.688	9.428
62.8	4.881	5.306	5.730	6.202	6.728	7.317	7.977	8.720	9.463
62.9	4.900	5.326	5.752	6.226	6.754	7.344	8.006	8.752	9.497
63.0	4.918	5.346	5.774	6.249	6.779	7.371	8.035	8.784	9.532
63.1	4.937	5.366	5.795	6.272	6.804	7.398	8.065	8.815	9.566
63.2	4.955	5.386	5.817	6.295	6.828	7.425	8.094	8.847	9.600
63.3	4.974	5.406	5.838	6.318	6.853	7.452	8.123	8.879	9.634
63.4	4.992	5.426	5.859	6.341	6.878	7.479	8.152	8.910	9.668
63.5	5.010	5.445	5.880	6.364	6.903	7.505	8.181	8.942	9.702
63.6	5.029	5.465	5.902	6.387	6.928	7.532	8.210	8.973	9.736
63.7	5.047	5.485	5.923	6.410	6.952	7.559	8.239	9.004	9.770
63.8	5.065	5.504	5.944	6.432	6.977	7.585	8.268	9.036	9.804
63.9	5.083	5.524	5.965	6.455	7.001	7.612	8.296	9.067	9.838
64.0	5.101	5.544	5.986	6.478	7.026	7.638	8.325	9.098	9.871
64.1	5.119	5.563	6.007	6.500	7.050	7.664	8.354	9.129	9.905
64.2	5.137	5.582	6.028	6.523	7.074	7.691	8.382	9.160	9.938
64.3	5.155	5.602	6.049	6.545	7.098	7.717	8.410	9.191	9.972
64.4	5.173	5.621	6.069	6.568	7.123	7.743	8.439	9.222	10.005
64.5	5.190	5.640	6.090	6.590	7.147	7.769	8.467	9.253	10.038
64.6	5.208	5.659	6.111	6.612	7.171	7.795	8.496	9.284	10.072
64.7	5.226	5.679	6.131	6.634	7.195	7.821	8.524	9.314	10.105
64.8	5.244	5.698	6.152	6.657	7.219	7.847	8.552	9.345	10.138
64.9	5.261	5.717	6.172	6.679	7.243	7.873	8.580	9.375	10.171
65.0	5.279	5.736	6.193	6.701	7.267	7.899	8.608	9.406	10.204
65.1	5.296	5.755	6.213	6.723	7.290	7.925	8.636	9.437	10.237
65.2	5.314	5.774	6.234	6.745	7.314	7.951	8.664	9.467	10.270
65.3	5.331	5.793	6.254	6.767	7.338	7.976	8.692	9.498	10.303
65.4	5.349	5.812	6.274	6.789	7.362	8.002	8.720	9.528	10.336
65.5	5.366	5.830	6.295	6.811	7.385	8.028	8.748	9.558	10.369
65.6	5.383	5.849	6.315	6.833	7.409	8.053	8.776	9.589	10.402
65.7	5.401	5.868	6.335	6.854	7.433	8.079	8.804	9.619	10.435
65.8	5.418	5.887	6.355	6.876	7.456	8.105	8.831	9.649	10.467
65.9	5.435	5.905	6.376	6.898	7.480	8.130	8.859	9.680	10.500
66.0	5.452	5.924	6.396	6.920	7.503	8.156	8.887	9.710	10.533
66.1	5.470	5.943	6.416	6.941	7.527	8.181	8.915	9.740	10.566
66.2	5.487	5.961	6.436	6.963	7.550	8.207	8.943	9.771	10.599
66.3	5.504	5.980	6.456	6.985	7.574	8.232	8.970	9.801	10.631
66.4	5.521	5.999	6.476	7.006	7.597	8.258	8.998	9.831	10.664
66.5	5.538	6.017	6.496	7.028	7.621	8.283	9.026	9.861	10.697
66.6	5.555	6.035	6.516	7.049	7.644	8.308	9.053	9.891	10.729
66.7	5.572	6.054	6.536	7.071	7.667	8.334	9.081	9.921	10.762
66.8	5.589	6.072	6.556	7.093	7.691	8.359	9.108	9.951	10.794
66.9	5.606	6.091	6.575	7.114	7.714	8.384	9.136	9.981	10.827
67.0	5.623	6.109	6.595	7.135	7.737	8.409	9.163	10.011	10.860
67.1	5.640	6.127	6.615	7.157	7.760	8.435	9.191	10.041	10.892
67.2	5.656	6.146	6.635	7.178	7.783	8.460	9.218	10.071	10.925
67.3	5.673	6.164	6.654	7.199	7.806	8.485	9.246	10.101	10.957
67.4	5.690	6.182	6.674	7.221	7.830	8.510	9.273	10.131	10.989
67.5	5.707	6.200	6.694	7.242	7.853	8.535	9.300	10.161	11.022
67.6	5.724	6.218	6.713	7.263	7.876	8.560	9.327	10.191	11.054
67.7	5.740	6.236	6.733	7.284	7.899	8.585	9.355	10.221	11.087
67.8	5.757	6.255	6.752	7.306	7.922	8.610	9.382	10.251	11.119
67.9	5.773	6.273	6.772	7.327	7.944	8.635	9.409	10.280	11.151
68.0	5.790	6.291	6.791	7.348	7.967	8.660	9.436	10.310	11.184
68.1	5.806	6.309	6.811	7.369	7.990	8.685	9.464	10.340	11.216
68.2	5.823	6.327	6.830	7.390	8.013	8.710	9.491	10.369	11.248
68.3	5.839	6.345	6.850	7.411	8.036	8.735	9.518	10.399	11.281
68.4	5.856	6.363	6.869	7.432	8.059	8.759	9.545	10.429	11.313
68.5	5.872	6.380	6.888	7.453	8.082	8.784	9.572	10.459	11.345
